title	text	source	language
"Learn Programming: from Novice to JavaScript Guru in 2 Weeks"	"This ambitious hands-on, step-by-step course by Dr Alex Davidovic takes you from your first programming steps to becoming a JavaScript guru. The material is divided into bite-size chunks, and as soon as you master the programming fundamentals, the building blocks and the ways to control the program flow, you start "swimming in the deep water" and take aim at the advanced concepts such as recursion (a function calling itself) and working with objects.
You learn how to animate text and images, capture the mouse, keyboard and other events, direct the execution of the program, and more." ,"coursetalk"	"en"	
"XSLT"	"This mini-course provides a general introduction to the XSLT rule-based
language for querying and transforming XML data. It will be available for an
extended period of time. We anticipate the content will be available at least
until June 9th, 2015. You will be notified by email of any changes to content
availability beforehand.

We have created 14 mini-courses that can be assembled in a variety of ways to
learn about different aspects of databases. Please visit the main Databases
page for suggested pathways and general information, or click View Courseware
above to begin this mini-course." ,"coursetalk"	"en"	
"Computer Science 101"	"Introduction to Computer Science for a zero-prior-experience audience. Play
with little phrases of code to understand what computers are all about." ,"coursetalk"	"en"	
"Social Network Analysis"	"Computer Science: Artificial Intelligence, Information, Tech & Design Week 1: What are networks and what use is it to study them?

Concepts: nodes, edges, adjacency matrix, one and two-mode networks, node degree
Activity: Upload a social network (e.g. your Facebook social network into Gephi and visualize it ).

Week 2: Random network models: Erdos-Renyi and Barabasi-Albert

Concepts: connected components, giant component, average shortest path, diameter, breadth-first search, preferential attachment
Activities: Create random networks, calculate component distribution, average shortest path, evaluate impact of structure on ability of information to diffuse

Week 3: Network centrality

Concepts: betweenness, closeness, eigenvector centrality (+ PageRank), network centralization
Activities: calculate and interpret node centrality for real-world networks (your Facebook graph, the Enron corporate email network, Twitter networks, etc.)

Week 4: Community

Concepts: clustering, community structure, modularity, overlapping communities
Activities: detect and interpret disjoint and overlapping communities in a variety of networks (scientific collaborations, political blogs, cooking ingredients, etc.)

Week 5: Small world network models, optimization, strategic network formation and search

Concepts: small worlds, geographic networks, decentralized search
Activity: Evaluate whether several real-world networks exhibit small world properties, simulate decentralized search on different topologies, evaluate effect of small-world topology on information diffusion.

Week 6: Contagion, opinion formation, coordination and cooperation

Concepts: simple contagion, threshold models, opinion formation
Activity: Evaluate via simulation the impact of network structure on the above processes

Week 7: Cool and unusual applications of SNA

Hidalgo et al. : Predicting economic development using product space networks (which countries produce which products)
Ahn et al., and Teng et al.: Learning about cooking from ingredient and flavor networks
Lusseau et al.: Social networks of dolphins
Activity: hands-on exploration of these networks using concepts learned earlier in the course

Week 8: SNA and online social networks

Concepts: how services such as Facebook, LinkedIn, Twitter, CouchSurfing, etc. are using SNA to understand their users and improve their functionality
Activity: read recent research by and based on these services and learn how SNA concepts were applied Everything is connected: people, information, events and places, all the more so with the advent of online social media. A practical way of making sense of the tangle of connections is to analyze them as networks. In this course you will learn about the structure and evolution of networks, drawing on knowledge from disciplines as diverse as sociology, mathematics, computer science, economics, and physics. Online interactive demonstrations and hands-on analysis of real-world data sets will focus on a range of tasks: from identifying important nodes in the network, to detecting communities, to tracing information diffusion and opinion formation. This course will use social network analysis, both its theory and computational tools, to make sense of the social and information networks that have been fueled and rendered accessible by the internet." ,"Coursera"	"en"	
"How to Land A Startup Job to Become An Entrepreneur"	"This course reveals how to land a startup business development or sales job.
Perfect for budding entrepreneurs." ,"coursetalk"	"en"	
"Introduction to Systematic Review and Meta-Analysis"	"Statistics and Data Analysis Weeks
1 and 2Introduction to systematic reviews&nbsp;Framing the question&nbsp;Weeks
3 and 4Finding the evidence – searching principlesAssessing the risk of bias in clinical trialsMeta-bias and qualitative synthesesWeeks
5 and 6Planning the meta-analysisStatistical methods for meta-analysisSummary We will introduce methods to perform systematic
reviews and meta-analysis of clinical trials. We will cover how to formulate an
answerable research question, define inclusion and exclusion criteria, search
for the evidence, extract data, assess the risk of bias in clinical trials, and
perform a meta-analysis.&nbsp;Upon successfully completing this course, participants will be able to:Describe the steps in conducting a systematic reviewDevelop an answerable question using the “Participants Interventions Comparisons Outcomes” (PICO) frameworkDescribe the process used to collect and extract data from reports of clinical trialsDescribe methods to critically assess the risk of bias of clinical trialsDescribe and interpret the results of meta-analyses

Developed in collaboration with Johns Hopkins Open Education Lab. Learn to assess data from clinical trials by performing systematic reviews and meta-analyses." ,"Coursera"	"en"	
"Advanced UI Techniques"	"Tired of the theory and ready to get cracking? Join Neil Pearce as he rolls up his sleeves and jumps into the hands on practice of creating advanced user interfaces and web design elements in Photoshop. Along the way, you’ll learn how to create common elements and effects, get advice on creating a consistent feel for your UI, and how to wrap it all up for implementation." ,"coursetalk"	"en"	
"Heterogeneous Parallel Programming"	"Computer Science: Software Engineering, Computer Science: Systems & Security Week One: Introduction to Heterogeneous
Computing, Overview of CUDA C, and Kernel-Based Parallel Programming, with lab tour
and programming assignment of vector addition in CUDA C.&nbsp;Week Two: Memory Model for Locality, Tiling
for Conserving Memory Bandwidth, Handling Boundary Conditions, and Performance
Considerations, with&nbsp;programming assignment of simple matrix-matrix multiplication
in CUDA C.Week Three: Parallel Convolution Pattern, with
programming assignment of tiled matrix-matrix multiplication in CUDA C.Week Four: Parallel Scan Pattern, with
programming&nbsp;assignment of parallel convolution in CUDA C.Week Five: Parallel Histogram Pattern and
Atomic Operations, with programming assignment of parallel scan in CUDA C.Week Six: Data Transfer and Task
Parallelism, with programming assignment of parallel histogram in CUDA C.Week Seven: Introduction to OpenCL,
Introduction to C++AMP, Introduction to OpenACC, with programming assignment of
vector addition using streams in CUDA C.Week Eight: Course Summary,
Other Related Programming Models –Thrust,&nbsp;Bolt, and CUDA FORTRAN, with
programming assignment of simple matrix-matrix multiplication in choice of
OpenCL, C++AMP, or OpenACC.Week Nine: complete any
remaining lab assignments, with optional, bonus programming assignments in choice
of OpenCL, C++AMP, or OpenACC. All computing
systems, from mobile to supercomputers, are becoming heterogeneous, massively
parallel&nbsp;computers for higher power efficiency and&nbsp;computation
throughput. While the computing community is racing to build tools and
libraries to&nbsp;ease the use of these systems, effective and confident
use&nbsp;of these systems will always require knowledge about low-level
programming&nbsp;in these systems. This course is designed for students to
learn the essence&nbsp;of low-level programming interfaces and how to use these
interfaces to achieve application goals. CUDA C, with its good balance between
user control and verboseness, will serve as the teaching vehicle for the first
half of the course. Students will then extend their learning into closely
related programming interfaces such as OpenCL, OpenACC, and C++AMP.


The course is unique in that it is application oriented and only introduces the
necessary&nbsp;underlying computer science and computer engineering knowledge for
understanding.&nbsp;It covers the concept of data parallel execution models,
memory models for managing locality, tiling techniques for reducing bandwidth
consumption, parallel algorithm patterns,&nbsp;overlapping computation with
communication, and a variety of
heterogeneous parallel programming interfaces. The concepts learned in this
course form a strong foundation for learning other types of parallel
programming systems.

 This course introduces concepts, languages, techniques, and patterns for programming heterogeneous, massively parallel processors. Its contents and structure have been significantly revised based on the experience gained from its initial offering in 2012. It covers heterogeneous computing architectures, data-parallel programming models, techniques for memory bandwidth management, and parallel algorithm patterns." ,"Coursera"	"en"	
"Everything is the Same: Modeling Engineered Systems"	"Engineering Topics:1. What does it mean to model a physical system?2. Newton's laws3. Mechanical components connected together4. Chemical diffusion5. Laws governing electrical behavior6. Circuits and electrical components connected together7. Analogies between physical systems8. Diffusion is everywhere Students
 in this class will learn modeling and analysis techniques applicable to
 electrical, mechanical, and chemical systems.  This “systems” view, 
that focuses on what is common to these different physical systems, has 
been responsible for much of the progress in the last several decades in
 aeronautics, robotics, and other engineering disciplines where there 
are many different technologies working together.  Starting
 with algebraic descriptions of individual components (such as 
resistors), the class develops tools for modeling engineered systems.  Differential 
equations are key ingredients, so we will spend significant time 
learning how to derive differential equations from component descriptions. 
 One of the key ideas in this class is that electrical, mechanical, and 
chemical systems may seem very different from each other but often have 
very similar behavior, allowing us to draw powerful analogies between 
them.  Case studies from several areas of engineering will be used to 
illustrate the modeling techniques, including examples from robotics, 
power networks, exoskeletons, biomechanics, system identification, and active sensing.  Students will be encouraged to do hands-on 
experiments that demonstrate the techniques.   This introduction to engineering course will help you learn modeling and analysis techniques for electrical, mechanical, and chemical systems and discover how engineered systems that seem very different are actually very similar." ,"Coursera"	"en"	
"Outlook 2013 - Getting Started"	"Learn how to get started with Microsoft Office Outlook 2013" ,"coursetalk"	"en"	
"Systematic Program Design - Part 2: Arbitrary Sized Data"	"Computer Science Course Syllabus
        Syllabus

This is a full university course broken into three parts:

In Part 1 you will learn the core design method with a focus on simple data. In this part of the course, we introduce the idea of structuring a program based on the data it consumes. This part concludes with the design of simple interactive programs. The final project is an interactive game.

In Part 2, the focus is on more elaborate forms of data that can be used for more complex information. You will learn when and how to structure data using lists and trees. The final project will be a more elaborate interactive game in which more complex data structures are required.

In Part 3 you will learn about search, generative recursion, graphs and how to blend different kinds of structuring patterns together in more complex programs.  This part of the course concludes with a complex puzzle solving program project.

The course uses a small teaching language that includes the core features of nearly all other languages like Python, Javascript, Ruby, Java etc. Less than a week is required to learn nearly the whole language—the entire rest of the course is spent on program design. The focus on design together with the core nature of the language means that everything you learn will be applicable in any other language you use in the future.

See also:

Systematic Program Design - Part 1: The Core Method

Systematic Program Design - Part 3: Abstraction, Search and Graphs This programming course is unique in focusing on learning a design method rather than a programming language.  This practical method builds on years of research into the structure of good programs that will help you channel your creativity to program well in any language.

A primary challenge in programming is deciding exactly what our program should do. The first contribution of the design method is a set of techniques that help you systematically develop your program requirements. You will also learn to produce programs with consistent structure that are easy to modify later. This is important because useful programs always require later improvements. In addition, you will learn how to make your programs more reliable by building tests as an integral part of the programming process.  

 How to represent information as data
	 How to focus each part of your program on a single task
	 How to use examples to clarify what your program should do
	 How to determine the proper tests for a program
	 How to simplify the structure of your program using common patterns" ,""	"English"	
"Principles of Project Management (ProjMgt)"	"Learn the basics of project management, including what a project is and how to
manage one effectively.

If you're looking to move into management, or want to gain some project
management skills for your current role, this is the course for you. Learn to
manage a project from start to finish, including popular standards and
processes and how to manage stakeholders. Understand the role of a project
manager and learn how to plan work and execute projects.

#### What will I learn?

  * What a project is, and how you can manage it, including: 
    * An overview of popular Project Management methodologies and standards
    * The project life cycle: Concept, Develop, Execute and Finish
    * Nine areas every project manager should know
    * The main constraints projects often encounter
    * The benefits of Project Management
  * What is involved in the concept phase, including: 
    * Key project roles, like the project manager, team and stakeholder
    * Setting and justifying your goals
  * What is involved in the development phase, including: 
    * The project management plan
    * Planning for change
  * How to monitor and control the execution of a project, including: 
    * Quality auditing and continuous improvement
    * Getting handover right and how to use the lessons learned" ,"coursetalk"	"en"	
"Developing International Software"	"Computer Science Developing software for one market, and shipping it internationally with a few tweaks is simply impossible. Learn how to  create “world-ready” software from expert programmers who have developed international software for some of the world’s most successful companies.

Developing international software involves far more than translating the User Interface. You must sharpen your business acumen to determine whether shipping software to a specific market is even worth the effort. You must deepen your knowledge of cultural differences so you don’t include a feature, visual, or turn of phrase that offends potential customers. You must understand that differences in language affect input methods, sorting orders, text layout, fonts, and dialog box sizes, and that countries use different currency symbols, number formats, keyboard layouts, and measurement systems--and you should internalize all of this before you write a single line of code.

In this era of rapid development and intense competition, it is tempting to focus on what’s “most important” first, leaving the rest for later; but waiting until the end of the software development cycle to start thinking about markets outside of your own is a strategy that can result in delays or embarrassing failures, costing you time and money, alienating potential customers, and damaging your brand.

In this course, programmers who have developed international software for some of the world’s most successful companies will teach you the secrets to creating a “world-ready” software design and codebase that will make shipping software to markets around the world a smoother, less expensive, and less time-consuming process. The course has three discrete sections: business considerations, design, and development.

No previous programming knowledge is necessary for Part 1. Parts 2 and 3 require an understanding of basic coding techniques. The importance of globalizing software
	The process of making the business case for “world ready” software
	The globalization process within the software development cycle
	The necessary resources to go global with your software" ,""	"English"	
"Intro to Web Design: Friendly Design for Startups and Small Business"	"We all know beautiful sites are a dime a dozen these days, and hideous sites are even more frequent. This course will teach you how the essential elements to designing an elegant website.

Do you add great sites to your bookmark collection or pinterest board frequently? Maybe you peruse Siteinspire and gush over the latest and greatest in web design. The most beautiful sites are always easy to use, clean and refreshing. Their effortless appearance makes you say, “I could design something like that, right?”. Wrong.
Just kidding, you’re right! With a few simple photoshop tips and tricks, you can learn how to make beautiful buttons and containers, stunning avatars and pair attractive colors to make the user say “Oh my!”.
What You'll Learn
Basics of Web Design. The bread and butter: Layout, Typography, Color.
Creating Assets. You'll create brand elements such as button styles, avatars, and containers.
UX Interactions and Rollovers. Your design will include popular user interactions such as rollover amd carousel. 
Putting It All Together. You'll package all of the components of your design into a beautiful one pager.

What You'll Make
Together, we’ll put together photography, illustrations, icons, typography, and good feelings to make something usability-tastic! By the end of this course you will have designed a home page for any business of your choice— real or fake. 

Required Class SuppliesAdobe Photoshop. If you don’t have the program you can download a 30 day free trial here. All class tutorials are recorded on a Mac using Photoshop CS6. You do not need a Mac or the most recent version of Photoshop (CS6) to follow along. Most of the tools are consistent across all versions of Photoshop.
Please note: Photoshop Elements is a limited version of Photoshop and is not recommended for this course.
Don't know Photoshop? Try my Introduction to Photoshop class!
* This is a design only course. No development will be taught!" ,"coursetalk"	"en"	
"After Effects Advanced: Create Your Own Motion Video Intro"	"A complete guide to conceptualizing, creating, and using a video intro to
promote, grow, and strengthen your brand." ,"coursetalk"	"en"	
"Developing Windows 10 Universal Apps - Part 3"	"Computer Science Use C# and XAML to develop Windows 10 Universal Windows Platform apps that you will be proud to publish to the new Windows store. In part three of this three-part programming series (three x 4-week courses) you develop an app that connects to the cloud for data and services, implements notifications, geofencing, and live tiles, and includes advanced features such as speech-to-text and inking. Put your existing C#/XAML skills to work creating apps for the new Windows app store.

*IMPORTANT: This course will NOT teach C#, XAML or programming basics. Prior experience programming in C# and XAML is required. Azure service integration
	Background tasks and communication
	Live Tiles and notifications
	Geofencing and map integration
	Speech-to-text integration
	Windows store publishing and monetization " ,""	"English"	
"Building an Information Risk Management Toolkit"	"Information, Tech & Design, Computer Science: Systems & Security In this course, you will explore several structured, risk management approaches that guide information security decision-making. Course topics include: developing and maintaining risk assessments (RA); developing and maintaining risk management plans (RM); regulatory and legal compliance issues affecting risk plans; developing a control framework for mitigating risks; risk transfer; business continuity and disaster recovery planning from the information security perspective.Consider
upgrading to an enhanced, more rigorous version of this course offered online
at the University of Washington. You’ll gain access to
meaningful interaction with instructors and additional assignments, readings
and multimedia material, as well as earn a valuable University of Washington
credential. In this course, you will explore several structured, risk management approaches that guide information security decision-making. " ,"Coursera"	"en"	
"Build iPhone, Android and HTML 5 Apps - No Coding Required!"	"Like us on Facebook or Twitter" ,"coursetalk"	"en"	
"Introduction to Java Programming – Part 2"	"Computer Science Do you want to become a better problem solver?

This Java course will provide you with a strong understanding of basic Java programming elements and data abstraction using problem representation and the object-oriented framework. As the saying goes, “A picture is worth a thousand words.” This course will use sample objects such as photos or images to illustrate some important concepts to enhance understanding and retention. You will learn to write procedural programs using variables, arrays, control statements, loops, recursion, data abstraction and objects in an integrated development environment.

This course is comprised of two 5-week parts.

Part 1 introduces programming fundamentals.

Problem solving
	Primitive data types and arithmetic expressions
	Object-oriented programming basics
	Branching and Loops
	Arrays
Part 2 covers the following topics.

String manipulation
	File I/O
	Simple event-driven programming
	Recursion
	Abstract data types At the end of the course, you will be able to:

Take a “real-life” problem and abstract out the pertinent aspects necessary to solve it in an algorithmic manner.
	Formulate formal solutions to well-defined problems using the logic of a programming language.
	Implement formal solutions in Java using an integrated development environment.
	Understand the basics of data abstraction using the object-oriented framework." ,""	"English"	
"Project Management"	"Using problem­-based learning and real­-world situations, this course teachesyou how to apply knowledge in practical and relevant contexts. Our Many Ways™learning model feature multiple teachers and various instructional styles foreach concept so you can find a style that meshes with your individual learningpreference. This rich, immersive experience helps you better understand andretain information, for an all­-around smarter way to learn.Sophia's Project Management course takes you through the life cycle ofmanaging a project, from designing the scope to releasing the project team andcelebrating your success. Along the way you will gain applied experience withproject planning as well as managing project resources and risks. In Sophia’sProject Management course, you will complete a series of formative andsummative assessments comprised of 12 Challenge assessments and 4 Milestoneassessments and tied to the following learning outcomes:Analyze the Beginning of the ProjectIllustrate the Project Planning ProcessApply Project Management SkillsEvaluate Project Completion The American Council on Education's College Credit Recommendation Service (ACE Credit®) has evaluated and recommended college credit for Sophia's online course. More than 2,000 colleges and universities consider ACE CREDIT recommendations in determining the applicability to their course and degree programs." ,"coursetalk"	"en"	
"The Caltech-JPL Summer School on Big Data Analytics"	"Statistics and Data Analysis The anticipated schedule of lectures (subject to changes):Each bullet bellow corresponds to a set of materials that includes approximately 2 hours of video lectures, various links and supplementary materials, plus some on-line, hands-on exercises.1. Introduction to the school.&nbsp; Software architectures.&nbsp; Introduction to Machine Learning.2. Best programming practices.&nbsp; Information retrieval.3. Introduction to R.&nbsp; Markov Chain Monte Carlo.4. Statistical resampling and inference.5. Databases.6. Data visualization.7. Clustering and classification.8. Decision trees and random forests.9. Dimensionality reduction.&nbsp; Closing remarks. This is not a class as it is commonly understood; it is the set of materials from a summer school offered by Caltech and JPL, in the sense used by most scientists: an intensive period of learning of some advanced topics, not on an introductory level.&nbsp;The school will cover a variety of topics, with a focus on practical 
computing applications in research: the skills needed for a 
computational ("big data") science, not computer science. &nbsp;The specific 
focus will be on applications in astrophysics, earth science (e.g., 
climate science) and other areas of space science, but with an emphasis 
on the general tools, methods, and skills that would apply across other 
domains as well.&nbsp; It is aimed at an audience of practicing researchers who already have a strong background in computation and data analysis.&nbsp; The lecturers include computational science and 
technology experts from Caltech and JPL.Students can evaluate their own progress, but there will be no tests, exams, and no formal credit or certificates will be offered. This is an intensive, advanced summer school (in the sense used by scientists) in some of the methods of computational, data-intensive science.  It covers a variety of topics from applied computer science and engineering, and statistics, and it requires a strong background in computing, statistics, and data-intensive research." ,"Coursera"	"en"	
"Crack Cold Emailing to Increase Sales and Grow Your Business"	"Grow your business, increase sales, and expand your network by mastering cold
emailing with this step by step guide." ,"coursetalk"	"en"	
"Game Theory"	"Computer Science: Artificial Intelligence, Computer Science: Theory Week 1. Introduction:  Introduction, overview, uses of game theory,
some applications and examples, and formal definitions of: the normal form,
payoffs, strategies, pure strategy Nash equilibrium, dominated strategies.

Week 2. Mixed-strategy
Nash equilibria: Definitions, examples, real-world evidence.

Week 3. Alternate
solution concepts: iterative removal of strictly dominated strategies,
minimax strategies and the minimax theorem for zero-sum game, correlated equilibria.

Week 4.
Extensive-form games: Perfect information games: trees, players assigned to
nodes, payoffs, backward Induction, subgame perfect equilibrium, introduction
to imperfect-information games, mixed versus behavioral strategies.

Week 5. Repeated
games: Repeated prisoners dilemma, finite and infinite repeated games,
limited-average versus future-discounted reward, folk theorems, stochastic
games and learning.

Week 6. Coalitional games:
Transferable utility cooperative games, Shapley value, Core, applications.

Week 7. Bayesian
games: General definitions, ex ante/interim Bayesian Nash equilibrium. Popularized by movies such as "A Beautiful Mind", game theory is the mathematical modeling of strategic interaction among rational (and irrational) agents. Beyond what we call 'games' in common language, such as chess, poker, soccer, etc., it includes the modeling of conflict among nations, political campaigns, competition among firms, and trading behavior in markets such as the NYSE. How could you begin to model eBay, Google keyword auctions, and peer to peer file-sharing networks, without accounting for the incentives of the people using them? The course will provide the basics: representing games and strategies, the extensive form (which computer scientists call game trees), Bayesian games (modeling things like auctions), repeated and stochastic games, and more. We'll include a variety of examples including classic games and real-world applications. The course covers the basics: representing games and strategies, the extensive form (which computer scientists call game trees), repeated and stochastic games, coalitional games, and Bayesian games (modeling things like auctions)." ,"Coursera"	"en"	
"Nanotechnology: The Basics"	"Engineering Nanotechnology: The BasicsWeek 1: Small, strange and useful! This first week we will introduce nanotechnology.&nbsp; As you will learn, defining the term itself can be a challenge and the discipline has a rich and somewhat controversial history.&nbsp; We will conclude the week with a tour of the different types of materials in the nanotechnology pantheon that sets up the class for the weeks to come.Week 2: Electronics when materials are super small.&nbsp; There is no doubt our lives have been changed by the small and powerful computers we now use in everything from our cell phones to our coffeemakers.&nbsp; This week you will learn how nanotechnology has been a part of this revolution and what the limits are to making wires and transistors super, super small.Week 3: How magnets change when they are made small.&nbsp; Magnetism is quite mysterious and the foundation of such cool technologies as flash drives and MRI imaging.&nbsp; Nanotechnology has played a crucial role in advancing all of these diverse applications and in week 3 you'll gain some insight into how that is possible.Week 4: Shedding light on nanoscale materials and photonics.&nbsp; Compared to electrons, photons are difficult things to trap and control with normal materials.&nbsp; Nanomaterials offer completely new approaches to manipulating light.&nbsp; Whether its through diffraction, or plasmonics, nanotechnology can provide new capabilities for solid state lasers as well as super resolution microscopes. Nanotechnology is an exciting research area that spans disciplines from electrical engineering to biology. &nbsp;Over the last two decades the basic science of this area has launched new technologies, the first examples of which are finding their way into commercial products. &nbsp;This four week course will provide students with a bird's eye view into this fast moving area and leave students with an appreciation of the importance and foundation of super-small materials and devices. Nanotechnology is an emerging area that engages almost every technical discipline – from chemistry to computer science – in the study and application of extremely tiny materials.  This short course allows any technically savvy person to go one layer beyond the surface of this broad topic to see the real substance behind the very small." ,"Coursera"	"en"	
"Build a Simple iPhone App with Swift"	"Building the Fun Facts app will teach you how to use the Swift language and
the Xcode and Interface Builder tools. You will also learn about core concepts
such as views and view controllers, creating a data model, and the Model-View-
Controller design pattern. Towards the end you will have finished creating a
fun app that will get you oriented with the world of iOS development." ,"coursetalk"	"en"	
"Getting Started with Ruby on Rails"	"This course will teach you all you need to know in order to build high quality
Web Applications in Ruby on Rails 4.0." ,"coursetalk"	"en"	
"Introduction to Genomic Technologies"	"Information, Tech & Design, Computer Science: Theory, Statistics and Data Analysis The Central Dogma of Molecular BiologyHow next generation sequencing worksApplications of next generation sequencing to measureDNARNAEpigenetics (e.g. DNA methylation)Basic concepts in computing on next generation sequencing dataWhat is an algorithm?&nbsp;What is a data structure?How to share data?&nbsp;Basic concepts in statistics for next generation sequencingTypes of variation (biological, technological)Experimental designSignal and noise This course introduces you to the basic biology of modern genomics and the experimental tools used to measure this biology. The course will introduce the Central Dogma of Molecular Biology and cover how next generation sequencing can be used to measure DNA, RNA, and epigenetics. The course will also give a brief introduction to the key concepts in computing and statistics that you will need to understand how data from next generation sequencing are generated and analyzed. The basic biology of modern genomics and the experimental tools used for measurement. This is the first course in the Genomic Big Data Science Specialization." ,"Coursera"	"en"	
"SQL Database for Beginners"	"Master SQL Database Creation and Development with Guru Martin Holzke. Use Your
DB Skills to Create Mobile or Web Apps" ,"coursetalk"	"en"	
"Logic: Language and Information 2"	"Mathematics, Computer Science: Theory, Engineering Week 1. The Syntax of Predicate Logic; Translations using quantifiersWeek 2. Models for Predicate Logic; Classifying propositions and arguments; Finite and Infinite DomainsWeek 3. Tree Proofs for Predicate Logic; Soundness and CompletenessWeek 4. Identity; Functions; Counting Weeks 5–8. Applications to different reasoning domains (take at least three):Electronic Engineering — simplifying digital circuits with timingPhilosophy — definite descriptions and existenceComputer Science — databases, resolution and PrologLinguistics — quantificational scopeMathematics — limits, continuity and quantifier alternation Information is everywhere: in our words and our world, our thoughts and our theories, our devices and our databases. Logic is the study of that information: the features it has, how it’s represented, and how we can manipulate it. Learning logic helps you formulate and answer many different questions about information:Does this hypothesis clash with the evidence we have or is it consistent with the evidence?Is this argument watertight, or do we need to add more to make the conclusion to really follow from the premises?Do these two sentences say the same things in different ways, or do they say something subtly different?Does this information follow from what’s in this database, and what procedure could we use to get the answer quickly?Is there a more cost-effective design for this digital circuit? And how can we specify what the circuit is meant to do so we could check that this design does what we want?These are questions about Logic. When you learn logic you'll learn to recognise patterns of information and the way it can be represented. These skills are used whether we're dealing with theories, databases, digital circuits, meaning in language, or mathematical reasoning, and they will be used in the future in ways we haven't yet imagined. Learning logic is a central part of learning to think well, and this course will help you learn logic and how you can apply it.This subject follows from Logic: Language and Information 1, to cover core techniques in first order predicate logic: the idea of formal languages with quantifiers, which gives us a way to talk about more logical structure than in propositional logic; and we will cover the central logical concepts such as consistency and validity; models; and proofs in predicate logic. But you won’t only learn these concepts and tools. We will also explore how these techniques connect with issues in linguistics, computer science, electronic engineering, mathematics, and philosophy. This is an introduction to predicate logic and how it is applied in computer science, electronic engineering, linguistics, mathematics and philosophy. Building on your knowledge of propositional logic, you will learn predicate logic—its language, interpretations and proofs, and apply it to solve problems in a wide range of disciplines." ,"Coursera"	"en"	
"HTML and CSS for Beginning Web Developers"	"HTML and CSS are like peanut butter and jelly for web designers and
developers. Get started with the basics today." ,"coursetalk"	"en"	
"Easy CSS with Sass"	"Learn how to easily build and manage your Css3 files with the use of
Syntactically Awesome Stylesheets." ,"coursetalk"	"en"	
"Python"	"Python is a powerful and expressive language that has very simple syntax. If
you're unsure of which programming language to learn, Python is a great
choice. The language is used in a variety of disciplines: application, web,
and game development. Python can do it all. Courses are based on Python 2.7.3." ,"coursetalk"	"en"	
"Microsoft Outlook 2010 Tutorial - Learning Made Easy"	"Taught by leading Microsoft trainer this Outlook 2010 tutorial breaks learning
down in to simple step-by-step stages" ,"coursetalk"	"en"	
"Adobe Illustrator CS5 (Beginning, Intermediate, & Advanced)"	"Adobe Illustrator CS5 Tutorials for Print and Web Design. All levels covered:
(beginning, Intermediate, & Advanced)" ,"coursetalk"	"en"	
"Learn Shape Layers in After Effects"	"Use this training to fully understand often overlooked yet powerful shape
layers in After Effects." ,"coursetalk"	"en"	
"Language, Proof and Logic"	"An introduction to the study of first-order logic and deductive reasoning,
with attention to the relationships between formal and informal reasoning.
($55 Materials Fee)" ,"coursetalk"	"en"	
